,time,open,high,low,close,volume,end_time,quote_volume,nbs_trades,buy_base_volume,buy_quote_volume,date
96,1674572700000,22810.52000000,22843.75000000,22750.01000000,22831.83000000,2579.73643000,1674572999999,58811547.31149470,47184,1342.82981000,30615059.90924240,2023-01-24 15:05:00
97,1674573000000,22831.83000000,22894.08000000,22806.56000000,22890.44000000,1886.86959000,1674573299999,43119511.25461480,44037,984.58546000,22501218.09626970,2023-01-24 15:10:00
98,1674573300000,22887.22000000,22920.67000000,22843.20000000,22865.71000000,1899.72276000,1674573599999,43471198.00219280,45973,919.81004000,21049605.87445200,2023-01-24 15:15:00
99,1674573600000,22865.71000000,22889.40000000,22844.43000000,22850.73000000,1328.99775000,1674573899999,30391257.76393650,36483,694.04164000,15872087.61738130,2023-01-24 15:20:00
100,1674573900000,22852.37000000,22913.71000000,22846.85000000,22909.91000000,1228.49962000,1674574199999,28113501.72155180,34949,658.10894000,15061156.89194090,2023-01-24 15:25:00
101,1674574200000,22908.80000000,22924.14000000,22886.43000000,22890.45000000,1155.34002000,1674574499999,26459723.83960440,30995,542.91617000,12434211.34492140,2023-01-24 15:30:00
102,1674574500000,22890.45000000,22894.45000000,22856.13000000,22863.70000000,1045.48017000,1674574799999,23913597.43162900,30805,477.52473000,10922724.73122680,2023-01-24 15:35:00
103,1674574800000,22862.94000000,22911.99000000,22858.43000000,22907.63000000,1025.25916000,1674575099999,23461623.65688300,27810,545.75675000,12489192.00803030,2023-01-24 15:40:00
104,1674575100000,22909.13000000,22954.99000000,22894.57000000,22936.84000000,1713.64381000,1674575399999,39287907.59482090,36478,840.57098000,19272872.28924560,2023-01-24 15:45:00
105,1674575400000,22935.39000000,22943.34000000,22901.01000000,22935.83000000,1069.91077000,1674575699999,24530088.18908920,29314,548.49160000,12575753.81798330,2023-01-24 15:50:00
106,1674575700000,22934.65000000,22959.88000000,22921.23000000,22931.36000000,1075.44199000,1674575999999,24674513.23009240,26892,504.63981000,11578747.60750390,2023-01-24 15:55:00
107,1674576000000,22931.36000000,22943.26000000,22923.96000000,22926.25000000,788.85820000,1674576299999,18091587.08145200,22538,355.66683000,8156996.79300920,2023-01-24 16:00:00
108,1674576300000,22925.65000000,22926.69000000,22886.66000000,22893.29000000,937.24160000,1674576599999,21470933.42703050,23576,422.94450000,9689185.35122260,2023-01-24 16:05:00
109,1674576600000,22893.82000000,22930.99000000,22873.31000000,22892.77000000,961.73492000,1674576899999,22026699.68278890,27336,460.43999000,10545957.69422350,2023-01-24 16:10:00
110,1674576900000,22892.77000000,22917.01000000,22868.75000000,22908.01000000,1087.84681000,1674577199999,24901305.29758700,30228,544.80758000,12471067.58445530,2023-01-24 16:15:00
111,1674577200000,22906.62000000,22923.94000000,22880.69000000,22917.43000000,756.77928000,1674577499999,17334112.77888960,23134,366.72019000,8400020.70681150,2023-01-24 16:20:00
112,1674577500000,22917.42000000,22949.26000000,22910.52000000,22942.92000000,859.84795000,1674577799999,19721492.04739080,23045,468.13637000,10737553.57651510,2023-01-24 16:25:00
113,1674577800000,22943.63000000,22946.70000000,22891.00000000,22902.87000000,849.47320000,1674578099999,19467115.91471850,23520,346.12131000,7931565.50892430,2023-01-24 16:30:00
114,1674578100000,22902.28000000,22913.28000000,22885.11000000,22899.66000000,705.12791000,1674578399999,16147498.19825590,22158,327.08683000,7490433.94184220,2023-01-24 16:35:00
115,1674578400000,22900.63000000,22907.37000000,22875.24000000,22902.79000000,681.61775000,1674578699999,15603441.16970990,20833,312.35715000,7150643.82142950,2023-01-24 16:40:00
116,1674578700000,22902.06000000,22915.51000000,22876.01000000,22881.31000000,637.10912000,1674578999999,14587458.17112910,20552,294.79687000,6750101.50847340,2023-01-24 16:45:00
117,1674579000000,22881.31000000,22899.45000000,22841.48000000,22867.60000000,1138.99718000,1674579299999,26050281.86937200,28605,519.12325000,11874307.86676520,2023-01-24 16:50:00
118,1674579300000,22867.60000000,22888.13000000,22843.04000000,22875.18000000,921.03779000,1674579599999,21058590.63556940,27032,445.96737000,10196847.07180940,2023-01-24 16:55:00
119,1674579600000,22875.18000000,22875.61000000,22801.00000000,22827.52000000,1422.97302000,1674579899999,32487511.01543690,37185,609.71171000,13919906.17743300,2023-01-24 17:00:00
120,1674579900000,22828.32000000,22859.57000000,22785.59000000,22851.32000000,1739.21448000,1674580199999,39687593.35420500,39805,850.57699000,19411248.93308410,2023-01-24 17:05:00
121,1674580200000,22851.15000000,22889.52000000,22843.95000000,22876.83000000,1082.01428000,1674580499999,24749775.92875640,30198,549.76985000,12575489.29510660,2023-01-24 17:10:00
122,1674580500000,22877.52000000,22927.37000000,22856.74000000,22921.34000000,1402.57403000,1674580799999,32116764.90875620,34300,777.33660000,17800669.71408860,2023-01-24 17:15:00
123,1674580800000,22920.27000000,22925.67000000,22892.66000000,22911.44000000,771.52675000,1674581099999,17673817.84014520,21944,376.65439000,8628379.01746140,2023-01-24 17:20:00
